City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
200,udachnyy,66.4167,112.4,-17.3,99,66,7.0,RU,1678555411
201,pevek,69.7008,170.3133,-25.73,100,81,9.17,RU,1678555412
202,nuuk,64.1835,-51.7216,34.41,47,20,3.44,GL,1678555414
203,libreville,0.3925,9.4537,79.61,80,100,5.14,GA,1678555415
204,saskylakh,71.9167,114.0833,-23.66,98,49,6.53,RU,1678555416
205,palmerston,-12.486,130.9833,80.58,90,25,4.61,AU,1678555417
206,dombarovskiy,50.7587,59.5386,33.75,100,100,6.17,RU,1678555418
207,mashhad,36.297,59.6062,50.14,93,20,6.91,IR,1678555419
208,sao filipe,14.8961,-24.4956,78.28,57,0,7.49,CV,1678555420
209,kahului,20.8947,-156.47,68.85,90,40,1.99,US,1678555174
210,canmore,51.0834,-115.3521,9.88,66,100,3.44,CA,1678555315
211,mujiayingzi,42.1167,118.7833,25.45,30,100,15.66,CN,1678555422
212,adrar,20.5022,-10.0711,95.09,5,0,13.35,MR,1678555423
213,yar-sale,66.8333,70.8333,10.72,89,100,22.28,RU,1678555423
214,tuatapere,-46.1333,167.6833,54.77,80,81,6.44,NZ,1678555424
215,charters towers,-20.1,146.2667,75.81,87,66,7.4,AU,1678555425
216,ferme-neuve,46.7001,-75.4493,28.78,85,100,6.91,CA,1678555426
217,henties bay,-22.116,14.2845,64.67,79,3,13.35,NA,1678555427
218,saint anthony,45.0205,-93.218,32.67,91,100,12.66,US,1678555333
219,solnechnyy,50.7214,136.6319,15.19,83,49,4.97,RU,1678555429
220,cravo norte,6.3017,-70.2041,87.94,51,95,8.79,CO,1678555430
221,guerrero negro,27.9769,-114.0611,65.73,68,15,16.71,MX,1678555431
222,naze,28.3667,129.4833,65.32,64,71,11.25,JP,1678555432
223,vanimo,-2.6741,141.3028,77.38,86,100,2.39,PG,1678555433
224,coracora,-15.0333,-73.7833,54.18,85,99,7.78,PE,1678555434
225,pawayan,28.0667,80.1,72.54,23,0,4.25,IN,1678555435
226,sovetskiy,61.3614,63.5842,16.05,85,58,12.37,RU,1678555436
227,yorkton,51.2167,-102.4677,17.44,79,75,21.85,CA,1678555437
228,ixtapa,20.7,-105.2,76.23,65,40,0.0,MX,1678555438
229,chapleau,47.8405,-83.4034,12.29,67,75,9.22,CA,1678555439
230,leningradskiy,69.3833,178.4167,-23.69,99,58,5.82,RU,1678555441
231,saint-pierre,-21.3393,55.4781,78.48,83,30,18.41,RE,1678555443
232,lerwick,60.1545,-1.1494,30.2,57,100,12.44,GB,1678555398
233,guaruja,-23.9931,-46.2564,82.26,78,20,5.01,BR,1678555445
234,sabzevar,36.2126,57.6819,55.36,68,12,7.92,IR,1678555446
235,lethem,3.3803,-59.7968,93.81,36,66,11.59,GY,1678555448
236,santa maria,-29.6842,-53.8069,93.9,35,7,7.54,BR,1678555081
237,makakilo city,21.3469,-158.0858,66.61,85,0,4.61,US,1678555450
238,ribeira grande,38.5167,-28.7,63.0,100,75,25.01,PT,1678555452
239,boende,-0.2167,20.8667,71.71,99,98,2.71,CD,1678555453
240,kutum,14.2,24.6667,75.79,10,52,10.94,SD,1678555455
241,saint george,37.1041,-113.5841,58.42,77,20,5.75,US,1678555283
242,talaya,61.3833,152.75,-10.39,88,100,2.93,RU,1678555457
243,san patricio,28.017,-97.5169,85.06,48,0,16.4,US,1678555458
244,garowe,8.4054,48.4845,78.39,56,17,22.41,SO,1678555459
245,kochi,9.9399,76.2602,82.38,70,17,2.15,IN,1678555460
246,port blair,11.6667,92.75,80.64,83,40,2.3,IN,1678555300
247,okhotsk,59.3833,143.3,8.89,93,100,8.03,RU,1678555465
248,balkhash,46.844,74.9804,35.47,84,100,4.7,KZ,1678555466
249,flinders,-34.5833,150.8552,70.38,82,25,9.84,AU,1678555467
250,haines junction,60.7522,-137.5108,1.35,66,91,4.61,CA,1678555468
251,shache,38.4167,77.2406,51.89,27,3,7.0,CN,1678555469
252,marrakesh,31.6315,-8.0083,91.47,14,0,2.3,MA,1678555315
253,cazones,20.7167,-97.3167,82.2,65,75,0.0,MX,1678555472
254,berlevag,70.8578,29.0864,15.8,62,16,26.46,NO,1678555473
255,gorom-gorom,14.4439,-0.2361,102.24,7,84,9.13,BF,1678555475
256,melfi,40.9965,15.6514,55.96,85,81,7.27,IT,1678555475
257,petrokamenskoye,57.716,60.6484,19.11,85,9,9.98,RU,1678555477
258,dhidhdhoo,6.8833,73.1,81.9,75,9,6.98,MV,1678555478
259,tilichiki,60.4667,166.1,-13.04,90,4,9.86,RU,1678555479
260,trenggalek,-8.05,111.7167,74.53,90,23,1.07,ID,1678555480
261,aykhal,66.0,111.5,-12.91,100,93,8.46,RU,1678555481
262,hilo,19.7297,-155.09,67.24,89,75,4.61,US,1678555482
263,nome,64.5011,-165.4064,12.27,85,100,0.0,US,1678555384
264,shitanjing,39.2342,106.3439,23.88,20,1,2.51,CN,1678555484
265,tiznit,29.5833,-9.5,81.75,18,0,8.72,MA,1678555485
266,tiksi,71.6872,128.8694,-14.04,98,81,6.51,RU,1678555486
267,clyde river,70.4692,-68.5914,5.23,78,20,17.27,CA,1678555487
268,faanui,-16.4833,-151.75,81.77,77,91,19.75,PF,1678555488
269,ponta do sol,32.6667,-17.1,70.12,77,64,7.11,PT,1678555489
270,kondopoga,62.2057,34.2614,20.88,84,100,12.03,RU,1678555490
271,sundsvall,62.3913,17.3063,22.96,63,9,2.3,SE,1678555491
272,creel,27.75,-107.6333,62.26,20,66,8.23,MX,1678555492
273,weligama,5.9667,80.4167,76.69,88,48,6.49,LK,1678555492
274,longyearbyen,78.2186,15.6401,19.24,68,75,16.11,SJ,1678555493
275,olga,43.7444,135.2892,32.47,99,100,0.6,RU,1678555494
276,statesville,35.7826,-80.8873,54.82,41,0,9.22,US,1678555265
277,mayahi,13.9553,7.6712,94.93,8,100,12.1,NE,1678555496
278,olafsvik,64.8945,-23.7142,19.99,58,100,22.5,IS,1678555497
279,la peca,-5.6111,-78.435,73.6,72,100,1.25,PE,1678555498
280,port shepstone,-30.7414,30.455,76.78,87,80,23.62,ZA,1678555453
281,sinnamary,5.3833,-52.95,81.01,69,69,12.01,GF,1678555500
282,susehri,40.1644,38.0867,48.15,74,100,11.56,TR,1678555502
283,bathsheba,13.2167,-59.5167,81.21,74,75,12.66,BB,1678555503
284,olinda,-8.0089,-34.8553,85.73,62,20,11.5,BR,1678555504
285,bolshaya sosnova,57.6713,54.6029,12.54,95,38,3.76,RU,1678555506
286,namibe,-15.1961,12.1522,74.98,79,99,9.24,AO,1678555507
287,campo grande,-20.4428,-54.6464,71.15,83,75,18.41,BR,1678555454
288,grand gaube,-20.0064,57.6608,79.38,79,10,7.0,MU,1678555509
289,neiafu,-18.65,-173.9833,77.68,94,75,0.0,TO,1678555510
290,victoria,22.2855,114.1577,72.19,88,20,5.35,HK,1678555307
291,coquimbo,-29.9533,-71.3436,71.33,64,75,6.91,CL,1678555279
292,bichura,50.5881,107.6022,6.57,84,20,3.71,RU,1678555514
293,cordoba,-31.4135,-64.1811,102.42,29,0,12.66,AR,1678555218
294,alappuzha,9.49,76.3264,80.56,72,7,3.02,IN,1678555516
295,mareeba,-17.0,145.4333,74.44,92,57,0.98,AU,1678555282
296,mizan teferi,6.9833,35.5833,64.81,85,98,2.13,ET,1678555518
297,rio gallegos,-51.6226,-69.2181,57.25,30,40,12.66,AR,1678555519
298,rio grande,-32.035,-52.0986,91.51,71,5,12.24,BR,1678555521
299,atasu,48.6814,71.6433,33.4,99,100,5.39,KZ,1678555522
300,ambon,-3.6954,128.1814,75.34,94,40,5.75,ID,1678555523
301,nakhodka,42.8333,132.8947,36.07,98,100,6.96,RU,1678555525
302,oranjestad,12.524,-70.027,84.15,51,20,17.27,AW,1678555526
303,florence,43.7667,11.25,63.36,77,75,3.44,IT,1678555399
304,katherine,-14.4667,132.2667,70.12,83,9,2.3,AU,1678555528
305,aktash,50.3,87.7333,13.77,70,100,8.14,RU,1678555530
306,shenzhen,22.5455,114.0683,72.09,90,20,3.65,CN,1678555531
307,kaitangata,-46.2817,169.8464,49.98,85,61,5.59,NZ,1678555533
308,bubaque,11.2833,-15.8333,78.6,64,0,14.97,GW,1678555535
309,blagoyevo,63.3667,47.9167,13.66,96,78,5.53,RU,1678555537
310,belyy yar,53.6039,91.3903,26.49,95,100,4.47,RU,1678555538
311,ucluelet,48.9329,-125.5528,38.08,90,100,12.03,CA,1678555539
312,green river,41.5286,-109.4662,25.2,77,6,8.52,US,1678555540
313,banjar,-8.19,114.9675,74.43,88,23,5.86,ID,1678555542
314,macon,39.8667,-88.9668,39.87,70,100,12.66,US,1678555342
315,xining,36.6167,101.7667,24.55,75,95,1.41,CN,1678555544
316,jambi,-1.6,103.6167,73.72,98,99,2.64,ID,1678555544
317,pokrovsk,48.282,37.1758,48.9,81,100,13.94,UA,1678555545
318,dentsville,34.064,-80.9582,60.49,42,0,4.61,US,1678555546
319,brae,60.3964,-1.353,29.89,57,100,12.37,GB,1678555547
320,yerbogachen,61.2767,108.0108,10.36,93,100,8.59,RU,1678555548
321,honningsvag,70.9821,25.9704,22.75,63,75,20.71,NO,1678555549
322,kaeo,-35.1,173.7833,52.32,93,8,3.49,NZ,1678555550
323,unnao,26.5333,80.5,71.58,28,2,3.38,IN,1678555360
324,tessalit,20.1986,1.0114,99.39,7,55,6.04,ML,1678555552
325,synya,65.3718,58.0387,16.16,95,100,6.46,RU,1678555553
326,springbok,-29.6643,17.8865,67.96,49,33,9.93,ZA,1678555554
327,cervo,43.6702,-7.4101,59.97,92,100,7.65,ES,1678555555
328,vestmannaeyjar,63.4427,-20.2734,22.19,38,40,6.91,IS,1678555556
329,huarmey,-10.0681,-78.1522,80.11,71,98,8.63,PE,1678555557
330,puri,19.8,85.85,77.52,74,0,7.31,IN,1678555557
331,stuttgart,48.7823,9.177,41.58,60,0,5.75,DE,1678555394
332,panzhihua,26.5851,101.7128,61.52,31,99,1.48,CN,1678555560
333,harnosand,62.6323,17.9379,23.0,77,24,3.02,SE,1678555561
334,provideniya,64.3833,-173.3,18.0,97,100,3.58,RU,1678555562
335,bima,-8.4667,118.7167,74.26,96,24,3.06,ID,1678555563
336,pangkalanbuun,-2.6833,111.6167,74.95,96,100,2.42,ID,1678555564
337,manono,-7.3,27.4167,68.52,98,100,1.77,CD,1678555565
338,bafq,31.6128,55.4107,67.05,26,0,4.29,IR,1678555567
339,los llanos de aridane,28.6585,-17.9182,67.75,78,20,10.36,ES,1678555569
340,vila franca do campo,37.7167,-25.4333,63.01,92,100,20.96,PT,1678555570
341,morro bay,35.3658,-120.8499,61.34,96,100,3.0,US,1678555572
342,sakaiminato,35.55,133.2333,49.98,93,75,5.75,JP,1678555573
343,quatre cocos,-20.2078,57.7625,79.09,82,43,14.67,MU,1678555574
344,shenjiamen,29.9576,122.298,55.29,91,100,9.75,CN,1678555576
345,merauke,-8.4667,140.3333,80.76,78,100,4.7,ID,1678555578
346,malindi,-3.2175,40.1191,80.76,78,40,9.22,KE,1678555492
347,gravdal,68.1214,13.5031,30.42,48,84,14.14,NO,1678555580
348,zaykovo,57.5613,62.7568,22.03,77,12,10.51,RU,1678555581
349,takahata,38.0025,140.1911,38.35,90,6,3.58,JP,1678555582
350,lompoc,34.6391,-120.4579,61.52,87,100,6.91,US,1678555418
351,lasa,46.6166,10.7002,45.48,86,62,6.96,IT,1678555584
352,leshukonskoye,64.8989,45.7622,19.4,93,86,7.78,RU,1678555586
353,calella,41.618,2.6678,69.94,59,94,8.08,ES,1678555587
354,omsukchan,62.5333,155.8,-7.46,91,85,6.85,RU,1678555588
355,itagi,-14.1628,-40.0061,89.46,44,76,6.78,BR,1678555589
356,americus,32.0724,-84.2327,62.35,33,0,4.61,US,1678555590
357,klaksvik,62.2266,-6.589,22.12,51,100,9.28,FO,1678555592
358,ciudad ojeda,10.1964,-71.3082,79.72,79,100,7.18,VE,1678555594
359,mandalgovi,45.7625,106.2708,18.05,26,1,7.92,MN,1678555595
360,libertador general san martin,-23.8064,-64.7876,95.97,29,0,7.11,AR,1678555596
361,douentza,14.9951,-2.9517,103.32,9,23,6.22,ML,1678555598
362,kamaishi,39.2667,141.8833,40.21,85,27,1.45,JP,1678555599
363,cam ranh,11.9214,109.1591,75.16,73,20,6.91,VN,1678555600
364,natal,-5.795,-35.2094,88.45,62,40,13.8,BR,1678555403
365,sibu,2.3,111.8167,75.51,100,40,3.44,MY,1678555602
